ETRiS_Dev,Bld_Class,GED4ALLstr,Event,Latitude,Longitude,Dam_Scale,Modelling,Comments,Download,Original_doc,Code,
Yes,Non engineered masonry; un reinforced with clay brick; 2 storey,MUR+CLBRS/HEX:2+HFAPP:0.30,Sulawesi Tsunami (Palu) 2018,-0.889841636,119.8750638,4 Tier/Peiris 2006,"using ""logit"" link function",Model 1; DL0; DL1; DL2+DL3,https://github.com/eurotsunamirisk/etris_data_and_data_products/blob/main/etris_data_products/Fragility_Curves/Non%20engineered%20masonry%2C%20un%20reinforced%20with%20clay%20brick%2C%202%20storey_Sulawesi%20Tsunami%202018_M1.csv,https://doi.org/10.1007/s00024-019-02254-9,6,
Yes,Masonry; unknown; 1 storey,M99/HEX:1+HFAPP:0.33,Sulawesi Tsunami (Palu) 2018,-0.875046458,119.8764018,4 Tier/Peiris 2006,"using ""logit"" link function",Model 1; DL1; DL2; DL3,https://github.com/eurotsunamirisk/etris_data_and_data_products/blob/main/etris_data_products/Fragility_Curves/Masonry%2C%20unknown%2C%201%20storey_Sulawesi%20Tsunami%202018_M1.csv,https://doi.org/10.1007/s00024-019-02254-9,7,
Yes,Non engineered light timber,W+WLI/HEX:1+HFAPP:0.20,Sulawesi Tsunami (Palu) 2018,-0.893910841,119.8563315,4 Tier/Peiris 2006,"using ""probit"" link function",Model 2; DL1; DL2; DL3,https://github.com/eurotsunamirisk/etris_data_and_data_products/blob/main/etris_data_products/Fragility_Curves/Non%20engineered%20light%20timber_Sulawesi%20Tsunami%202018_M2.csv,https://doi.org/10.1007/s00024-019-02254-9,4,
Yes,Non engineered masonry; un reinforced with clay brick; 1 storey,MUR+CLBRS/HEX:1+HFAPP:0.30,Sulawesi Tsunami (Palu) 2018,-0.893359958,119.8659338,4 Tier/Peiris 2006,"using ""probit"" link function",Model 2; DL0; DL1; DL2+DL3,https://github.com/eurotsunamirisk/etris_data_and_data_products/blob/main/etris_data_products/Fragility_Curves/Non%20engineered%20masonry%2C%20un%20reinforced%20with%20clay%20brick%2C%201%20storey_Sulawesi%20Tsunami%202018_M2.csv,https://doi.org/10.1007/s00024-019-02254-9,5,
Yes,Non engineered masonry; un reinforced with clay brick; 2 storey,MUR+CLBRS/HEX:2+HFAPP:0.30,Sulawesi Tsunami (Palu) 2018,-0.890841636,119.8750638,4 Tier/Peiris 2006,"using ""probit"" link function",Model 2; DL0; DL1; DL2+DL3,https://github.com/eurotsunamirisk/etris_data_and_data_products/blob/main/etris_data_products/Fragility_Curves/Non%20engineered%20masonry%2C%20un%20reinforced%20with%20clay%20brick%2C%202%20storey_Sulawesi%20Tsunami%202018_M2.csv,https://doi.org/10.1007/s00024-019-02254-9,6,
Yes,Masonry; unknown; 1 storey,M99/HEX:1+HFAPP:0.33,Sulawesi Tsunami (Palu) 2018,-0.876046458,119.8764018,4 Tier/Peiris 2006,"using ""probit"" link function",Model 2; DL1; DL2; DL3,https://github.com/eurotsunamirisk/etris_data_and_data_products/blob/main/etris_data_products/Fragility_Curves/Masonry%2C%20unknown%2C%201%20storey_Sulawesi%20Tsunami%202018_M2.csv,https://doi.org/10.1007/s00024-019-02254-9,7,
Yes,Non engineered light timber,W+WLI/HEX:1+HFAPP:0.20,Sulawesi Tsunami (Palu) 2018,-0.894910841,119.8563315,4 Tier/Peiris 2006,"using ""cloglog"" link function",Model 3; DL1; DL2; DL3,https://github.com/eurotsunamirisk/etris_data_and_data_products/blob/main/etris_data_products/Fragility_Curves/Non%20engineered%20light%20timber_Sulawesi%20Tsunami%202018_M3.csv,https://doi.org/10.1007/s00024-019-02254-9,4,
Yes,Non engineered masonry; un reinforced with clay brick; 1 storey,MUR+CLBRS/HEX:1+HFAPP:0.30,Sulawesi Tsunami (Palu) 2018,-0.894359958,119.8659338,4 Tier/Peiris 2006,"using ""cloglog"" link function",Model 3; DL0; DL1; DL2+DL3,https://github.com/eurotsunamirisk/etris_data_and_data_products/blob/main/etris_data_products/Fragility_Curves/Non%20engineered%20masonry%2C%20un%20reinforced%20with%20clay%20brick%2C%201%20storey_Sulawesi%20Tsunami%202018_M3.csv,https://doi.org/10.1007/s00024-019-02254-9,5,
Yes,Non engineered masonry; un reinforced with clay brick; 2 storey,MUR+CLBRS/HEX:2+HFAPP:0.30,Sulawesi Tsunami (Palu) 2018,-0.891841636,119.8750638,4 Tier/Peiris 2006,"using ""cloglog"" link function",Model 3; DL0; DL1; DL2+DL3,https://github.com/eurotsunamirisk/etris_data_and_data_products/blob/main/etris_data_products/Fragility_Curves/Non%20engineered%20masonry%2C%20un%20reinforced%20with%20clay%20brick%2C%202%20storey_Sulawesi%20Tsunami%202018_M3.csv,https://doi.org/10.1007/s00024-019-02254-9,6,
Yes,Masonry; unknown; 1 storey,M99/HEX:1+HFAPP:0.33,Sulawesi Tsunami (Palu) 2018,-0.877046458,119.8764018,4 Tier/Peiris 2006,"using ""cloglog"" link function",Model 3; DL1; DL2; DL3,https://github.com/eurotsunamirisk/etris_data_and_data_products/blob/main/etris_data_products/Fragility_Curves/Masonry%2C%20unknown%2C%201%20storey_Sulawesi%20Tsunami%202018_M3.csv,https://doi.org/10.1007/s11069-012-0487-8,7,
