ETRiS_Dev,Bld_Class,GED4ALLstr,Event,Latitude,Longitude,Dam_Scale,Modelling,Comments,Download,Original_doc,Code,
Yes,"Predominantly unreinforced single-storey masonry, Rathmalana ",MUR/HEX:1,2004 Indean Ocean Tsunami,6.821544,79.880083,Destroyed/Survived,"using ""probit"" link function",Model 2,https://github.com/eurotsunamirisk/etris_data_and_data_products/blob/main/etris_data_products/Fragility_Curves/SriLanka2004_Rathmalana_M2.csv,https://doi.org/10.1080/10286600802435918,19,
Yes,"Predominantly unreinforced single-storey masonry, Rathmalana ",MUR/HEX:1,2004 Indean Ocean Tsunami,6.823544,79.880083,Destroyed/Survived,"using ""cloglog"" link function",Model 3,https://github.com/eurotsunamirisk/etris_data_and_data_products/blob/main/etris_data_products/Fragility_Curves/SriLanka2004_Rathmalana_M3.csv,https://doi.org/10.1080/10286600802435918,19,
Yes,"Predominantly unreinforced single-storey masonry, Moratuwa ",MUR/HEX:1,2004 Indean Ocean Tsunami,6.788069,79.891281,Destroyed/Survived,"using ""logit"" link function",Model 1,https://github.com/eurotsunamirisk/etris_data_and_data_products/blob/main/etris_data_products/Fragility_Curves/SriLanka2004_Moratuwa_M1.csv,https://doi.org/10.1080/10286600802435918,19,
Yes,"Predominantly unreinforced single-storey masonry, Moratuwa ",MUR/HEX:1,2004 Indean Ocean Tsunami,6.792069,79.891281,Destroyed/Survived,"using ""probit"" link function",Model 2,https://github.com/eurotsunamirisk/etris_data_and_data_products/blob/main/etris_data_products/Fragility_Curves/SriLanka2004_Moratuwa_M2.csv,https://doi.org/10.1080/10286600802435918,19,
Yes,"Predominantly unreinforced single-storey masonry, Moratuwa ",MUR/HEX:1,2004 Indean Ocean Tsunami,6.796069,79.891281,Destroyed/Survived,"using ""cloglog"" link function",Model 3,https://github.com/eurotsunamirisk/etris_data_and_data_products/blob/main/etris_data_products/Fragility_Curves/SriLanka2004_Moratuwa_M3.csv,https://doi.org/10.1080/10286600802435918,19,
Yes,"Predominantly unreinforced single-storey masonry, Bentota",MUR/HEX:1,2004 Indean Ocean Tsunami,6.418917,80.005978,Destroyed/Survived,"using ""logit"" link function",Model 1,https://github.com/eurotsunamirisk/etris_data_and_data_products/blob/main/etris_data_products/Fragility_Curves/SriLanka2004_Bentota_M1.csv,https://doi.org/10.1080/10286600802435918,19,
Yes,"Predominantly unreinforced single-storey masonry, Bentota",MUR/HEX:1,2004 Indean Ocean Tsunami,6.422917,80.005978,Destroyed/Survived,"using ""probit"" link function",Model 2,https://github.com/eurotsunamirisk/etris_data_and_data_products/blob/main/etris_data_products/Fragility_Curves/SriLanka2004_Bentota_M2.csv,https://doi.org/10.1080/10286600802435918,19,
Yes,"Predominantly unreinforced single-storey masonry, Bentota",MUR/HEX:1,2004 Indean Ocean Tsunami,6.426917,80.005978,Destroyed/Survived,"using ""cloglog"" link function",Model 3,https://github.com/eurotsunamirisk/etris_data_and_data_products/blob/main/etris_data_products/Fragility_Curves/SriLanka2004_Bentota_M3.csv,https://doi.org/10.1080/10286600802435918,19,
Yes,"Predominantly unreinforced single-storey masonry, Balapitiya",MUR/HEX:1,2004 Indean Ocean Tsunami,6.278356,80.040306,Destroyed/Survived,"using ""logit"" link function",Model 1,https://github.com/eurotsunamirisk/etris_data_and_data_products/blob/main/etris_data_products/Fragility_Curves/SriLanka2004_Balapitiya_M1.csv,https://doi.org/10.1080/10286600802435918,19,
Yes,"Predominantly unreinforced single-storey masonry, Balapitiya",MUR/HEX:1,2004 Indean Ocean Tsunami,6.282356,80.040306,Destroyed/Survived,"using ""probit"" link function",Model 2,https://github.com/eurotsunamirisk/etris_data_and_data_products/blob/main/etris_data_products/Fragility_Curves/SriLanka2004_Balapitiya_M2.csv,https://doi.org/10.1080/10286600802435918,19,
Yes,"Predominantly unreinforced single-storey masonry, Balapitiya",MUR/HEX:1,2004 Indean Ocean Tsunami,6.286356,80.040306,Destroyed/Survived,"using ""cloglog"" link function",Model 3,https://github.com/eurotsunamirisk/etris_data_and_data_products/blob/main/etris_data_products/Fragility_Curves/SriLanka2004_Balapitiya_M3.csv,https://doi.org/10.1080/10286600802435918,19,
Yes,"Predominantly unreinforced single-storey masonry, Ambalangoda",MUR/HEX:1,2004 Indean Ocean Tsunami,6.244153,80.059081,Destroyed/Survived,"using ""logit"" link function",Model 1,https://github.com/eurotsunamirisk/etris_data_and_data_products/blob/main/etris_data_products/Fragility_Curves/SriLanka2004_Ambalangoda_M1.csv,https://doi.org/10.1080/10286600802435918,19,
Yes,"Predominantly unreinforced single-storey masonry, Ambalangoda",MUR/HEX:1,2004 Indean Ocean Tsunami,6.248153,80.059081,Destroyed/Survived,"using ""probit"" link function",Model 2,https://github.com/eurotsunamirisk/etris_data_and_data_products/blob/main/etris_data_products/Fragility_Curves/SriLanka2004_Ambalangoda_M2.csv,https://doi.org/10.1080/10286600802435918,19,
Yes,"Predominantly unreinforced single-storey masonry, Ambalangoda",MUR/HEX:1,2004 Indean Ocean Tsunami,6.252153,80.059081,Destroyed/Survived,"using ""cloglog"" link function",Model 3,https://github.com/eurotsunamirisk/etris_data_and_data_products/blob/main/etris_data_products/Fragility_Curves/SriLanka2004_Ambalangoda_M3.csv,https://doi.org/10.1080/10286600802435918,19,
Yes,"Predominantly unreinforced single-storey masonry,  Hikkaduwa",MUR/HEX:1,2004 Indean Ocean Tsunami,6.139469,80.106286,Destroyed/Survived,"using ""logit"" link function",Model 1,https://github.com/eurotsunamirisk/etris_data_and_data_products/blob/main/etris_data_products/Fragility_Curves/SriLanka2004_Hikkaduwa_M1.csv,https://doi.org/10.1080/10286600802435918,19,
Yes,"Predominantly unreinforced single-storey masonry,  Hikkaduwa",MUR/HEX:1,2004 Indean Ocean Tsunami,6.143469,80.106286,Destroyed/Survived,"using ""probit"" link function",Model 2,https://github.com/eurotsunamirisk/etris_data_and_data_products/blob/main/etris_data_products/Fragility_Curves/SriLanka2004_Hikkaduwa_M2.csv,https://doi.org/10.1080/10286600802435918,19,
Yes,"Predominantly unreinforced single-storey masonry,  Hikkaduwa",MUR/HEX:1,2004 Indean Ocean Tsunami,6.146469,80.106286,Destroyed/Survived,"using ""cloglog"" link function",Model 3,https://github.com/eurotsunamirisk/etris_data_and_data_products/blob/main/etris_data_products/Fragility_Curves/SriLanka2004_Hikkaduwa_M3.csv,https://doi.org/10.1080/10286600802435918,19,
Yes,"Predominantly unreinforced single-storey masonry, Galle Four Gravets ",MUR/HEX:1,2004 Indean Ocean Tsunami,6.045664,80.224897,Destroyed/Survived,"using ""logit"" link function",Model 1,https://github.com/eurotsunamirisk/etris_data_and_data_products/blob/main/etris_data_products/Fragility_Curves/SriLanka2004_Galle4Gravets_M1.csv,https://doi.org/10.1080/10286600802435918,19,
Yes,"Predominantly unreinforced single-storey masonry, Galle Four Gravets ",MUR/HEX:1,2004 Indean Ocean Tsunami,6.049664,80.224897,Destroyed/Survived,"using ""probit"" link function",Model 2,https://github.com/eurotsunamirisk/etris_data_and_data_products/blob/main/etris_data_products/Fragility_Curves/SriLanka2004_Galle4Gravets_M2.csv,https://doi.org/10.1080/10286600802435918,19,
Yes,"Predominantly unreinforced single-storey masonry, Galle Four Gravets ",MUR/HEX:1,2004 Indean Ocean Tsunami,6.053664,80.224897,Destroyed/Survived,"using ""cloglog"" link function",Model 3,https://github.com/eurotsunamirisk/etris_data_and_data_products/blob/main/etris_data_products/Fragility_Curves/SriLanka2004_Galle4Gravets_M3.csv,https://doi.org/10.1080/10286600802435918,19,
Yes,"Predominantly unreinforced single-storey masonry, Habaraduwa ",MUR/HEX:1,2004 Indean Ocean Tsunami,5.998358,80.307819,Destroyed/Survived,"using ""logit"" link function",Model 1,https://github.com/eurotsunamirisk/etris_data_and_data_products/blob/main/etris_data_products/Fragility_Curves/SriLanka2004_Habaraduwa_M1.csv,https://doi.org/10.1080/10286600802435918,19,
Yes,"Predominantly unreinforced single-storey masonry, Habaraduwa ",MUR/HEX:1,2004 Indean Ocean Tsunami,6.002358,80.307819,Destroyed/Survived,"using ""probit"" link function",Model 2,https://github.com/eurotsunamirisk/etris_data_and_data_products/blob/main/etris_data_products/Fragility_Curves/SriLanka2004_Habaraduwa_M2.csv,https://doi.org/10.1080/10286600802435918,19,
Yes,"Predominantly unreinforced single-storey masonry, Habaraduwa ",MUR/HEX:1,2004 Indean Ocean Tsunami,6.006358,80.307819,Destroyed/Survived,"using ""cloglog"" link function",Model 3,https://github.com/eurotsunamirisk/etris_data_and_data_products/blob/main/etris_data_products/Fragility_Curves/SriLanka2004_Habaraduwa_M3.csv,https://doi.org/10.1080/10286600802435918,19,
Yes,"Predominantly unreinforced single-storey masonry, Negomb",MUR/HEX:1,2004 Indean Ocean Tsunami,7.200797,79.873675,Destroyed/Survived,"using ""logit"" link function",Model 1,https://github.com/eurotsunamirisk/etris_data_and_data_products/blob/main/etris_data_products/Fragility_Curves/SriLanka2004_Negombo_M1.csv,https://doi.org/10.1080/10286600802435918,19,
Yes,"Predominantly unreinforced single-storey masonry, Negomb",MUR/HEX:1,2004 Indean Ocean Tsunami,7.204797,79.873675,Destroyed/Survived,"using ""probit"" link function",Model 2,https://github.com/eurotsunamirisk/etris_data_and_data_products/blob/main/etris_data_products/Fragility_Curves/SriLanka2004_Negombo_M2.csv,https://doi.org/10.1080/10286600802435918,19,
Yes,"Predominantly unreinforced single-storey masonry, Negomb",MUR/HEX:1,2004 Indean Ocean Tsunami,7.208797,79.873675,Destroyed/Survived,"using ""cloglog"" link function",Model 3,https://github.com/eurotsunamirisk/etris_data_and_data_products/blob/main/etris_data_products/Fragility_Curves/SriLanka2004_Negombo_M3.csv,https://doi.org/10.1080/10286600802435918,19,
Yes,"Predominantly unreinforced single-storey masonry, Wattala ",MUR/HEX:1,2004 Indean Ocean Tsunami,6.990667,79.893172,Destroyed/Survived,"using ""logit"" link function",Model 1,https://github.com/eurotsunamirisk/etris_data_and_data_products/blob/main/etris_data_products/Fragility_Curves/SriLanka2004_Wattala_M1.csv,https://doi.org/10.1080/10286600802435918,19,
Yes,"Predominantly unreinforced single-storey masonry, Wattala ",MUR/HEX:1,2004 Indean Ocean Tsunami,6.994667,79.893172,Destroyed/Survived,"using ""probit"" link function",Model 2,https://github.com/eurotsunamirisk/etris_data_and_data_products/blob/main/etris_data_products/Fragility_Curves/SriLanka2004_Wattala_M2.csv,https://doi.org/10.1080/10286600802435918,19,
Yes,"Predominantly unreinforced single-storey masonry, Wattala ",MUR/HEX:1,2004 Indean Ocean Tsunami,6.998667,79.893172,Destroyed/Survived,"using ""cloglog"" link function",Model 3,https://github.com/eurotsunamirisk/etris_data_and_data_products/blob/main/etris_data_products/Fragility_Curves/SriLanka2004_Wattala_M3.csv,https://doi.org/10.1080/10286600802435918,19,
Yes,"Predominantly unreinforced single-storey masonry, Panadura",MUR/HEX:1,2004 Indean Ocean Tsunami,6.710636,79.907425,Destroyed/Survived,"using ""logit"" link function",Model 1,https://github.com/eurotsunamirisk/etris_data_and_data_products/blob/main/etris_data_products/Fragility_Curves/SriLanka2004_Panadura_M1.csv,https://doi.org/10.1080/10286600802435918,19,
Yes,"Predominantly unreinforced single-storey masonry, Panadura",MUR/HEX:1,2004 Indean Ocean Tsunami,6.714636,79.907425,Destroyed/Survived,"using ""probit"" link function",Model 2,https://github.com/eurotsunamirisk/etris_data_and_data_products/blob/main/etris_data_products/Fragility_Curves/SriLanka2004_Panadura_M2.csv,https://doi.org/10.1080/10286600802435918,19,
Yes,"Predominantly unreinforced single-storey masonry, Panadura",MUR/HEX:1,2004 Indean Ocean Tsunami,6.718636,79.907425,Destroyed/Survived,"using ""cloglog"" link function",Model 3,https://github.com/eurotsunamirisk/etris_data_and_data_products/blob/main/etris_data_products/Fragility_Curves/SriLanka2004_Panadura_M3.csv,https://doi.org/10.1080/10286600802435918,19,
Yes,"Predominantly unreinforced single-storey masonry, Kalutara ",MUR/HEX:1,2004 Indean Ocean Tsunami,6.585394,79.960739,Destroyed/Survived,"using ""logit"" link function",Model 1,https://github.com/eurotsunamirisk/etris_data_and_data_products/blob/main/etris_data_products/Fragility_Curves/SriLanka2004_Kalutara_M1.csv,https://doi.org/10.1080/10286600802435918,19,
Yes,"Predominantly unreinforced single-storey masonry, Kalutara ",MUR/HEX:1,2004 Indean Ocean Tsunami,6.589394,79.960739,Destroyed/Survived,"using ""probit"" link function",Model 2,https://github.com/eurotsunamirisk/etris_data_and_data_products/blob/main/etris_data_products/Fragility_Curves/SriLanka2004_Kalutara_M2.csv,https://doi.org/10.1080/10286600802435918,19,
Yes,"Predominantly unreinforced single-storey masonry, Kalutara ",MUR/HEX:1,2004 Indean Ocean Tsunami,6.593394,79.960739,Destroyed/Survived,"using ""cloglog"" link function",Model 3,https://github.com/eurotsunamirisk/etris_data_and_data_products/blob/main/etris_data_products/Fragility_Curves/SriLanka2004_Kalutara_M3.csv,https://doi.org/10.1080/10286600802435918,19,
Yes,"Predominantly unreinforced single-storey masonry,  Beruwala ",MUR/HEX:1,2004 Indean Ocean Tsunami,6.473839,79.992,Destroyed/Survived,"using ""logit"" link function",Model 1,https://github.com/eurotsunamirisk/etris_data_and_data_products/blob/main/etris_data_products/Fragility_Curves/SriLanka2004_Beruwala_M1.csv,https://doi.org/10.1080/10286600802435918,19,
Yes,"Predominantly unreinforced single-storey masonry,  Beruwala ",MUR/HEX:1,2004 Indean Ocean Tsunami,6.476839,79.992,Destroyed/Survived,"using ""probit"" link function",Model 2,https://github.com/eurotsunamirisk/etris_data_and_data_products/blob/main/etris_data_products/Fragility_Curves/SriLanka2004_Beruwala_M2.csv,https://doi.org/10.1080/10286600802435918,19,
Yes,"Predominantly unreinforced single-storey masonry,  Beruwala ",MUR/HEX:1,2004 Indean Ocean Tsunami,6.480839,79.992,Destroyed/Survived,"using ""cloglog"" link function",Model 3,https://github.com/eurotsunamirisk/etris_data_and_data_products/blob/main/etris_data_products/Fragility_Curves/SriLanka2004_Beruwala_M3.csv,https://doi.org/10.1080/10286600802435918,19,
Yes,"Predominantly unreinforced single-storey masonry, Weligama",MUR/HEX:1,2004 Indean Ocean Tsunami,5.977378,80.428847,Destroyed/Survived,"using ""logit"" link function",Model 1,https://github.com/eurotsunamirisk/etris_data_and_data_products/blob/main/etris_data_products/Fragility_Curves/SriLanka2004_Weligama_M1.csv,https://doi.org/10.1080/10286600802435918,19,
Yes,"Predominantly unreinforced single-storey masonry, Weligama",MUR/HEX:1,2004 Indean Ocean Tsunami,5.981378,80.428847,Destroyed/Survived,"using ""probit"" link function",Model 2,https://github.com/eurotsunamirisk/etris_data_and_data_products/blob/main/etris_data_products/Fragility_Curves/SriLanka2004_Weligama_M2.csv,https://doi.org/10.1080/10286600802435918,19,
Yes,"Predominantly unreinforced single-storey masonry, Weligama",MUR/HEX:1,2004 Indean Ocean Tsunami,5.985378,80.428847,Destroyed/Survived,"using ""cloglog"" link function",Model 3,https://github.com/eurotsunamirisk/etris_data_and_data_products/blob/main/etris_data_products/Fragility_Curves/SriLanka2004_Weligama_M3.csv,https://doi.org/10.1080/10286600802435918,19,
Yes,"Predominantly unreinforced single-storey masonry, Matara Four Gravets ",MUR/HEX:1,2004 Indean Ocean Tsunami,5.952636,80.535083,Destroyed/Survived,"using ""logit"" link function",Model 1,https://github.com/eurotsunamirisk/etris_data_and_data_products/blob/main/etris_data_products/Fragility_Curves/SriLanka2004_Matara4Gravets_M1.csv,https://doi.org/10.1080/10286600802435918,19,
Yes,"Predominantly unreinforced single-storey masonry, Matara Four Gravets ",MUR/HEX:1,2004 Indean Ocean Tsunami,5.956636,80.535083,Destroyed/Survived,"using ""probit"" link function",Model 2,https://github.com/eurotsunamirisk/etris_data_and_data_products/blob/main/etris_data_products/Fragility_Curves/SriLanka2004_Matara4Gravets_M2.csv,https://doi.org/10.1080/10286600802435918,19,
Yes,"Predominantly unreinforced single-storey masonry, Matara Four Gravets ",MUR/HEX:1,2004 Indean Ocean Tsunami,5.960636,80.535083,Destroyed/Survived,"using ""cloglog"" link function",Model 3,https://github.com/eurotsunamirisk/etris_data_and_data_products/blob/main/etris_data_products/Fragility_Curves/SriLanka2004_Matara4Gravets_M3.csv,https://doi.org/10.1080/10286600802435918,19,
Yes,"Predominantly unreinforced single-storey masonry, Devinuwara",MUR/HEX:1,2004 Indean Ocean Tsunami,5.931256,80.591433,Destroyed/Survived,"using ""logit"" link function",Model 1,https://github.com/eurotsunamirisk/etris_data_and_data_products/blob/main/etris_data_products/Fragility_Curves/SriLanka2004_Devinuwara_M1.csv,https://doi.org/10.1080/10286600802435918,19,
Yes,"Predominantly unreinforced single-storey masonry, Devinuwara",MUR/HEX:1,2004 Indean Ocean Tsunami,5.935256,80.591433,Destroyed/Survived,"using ""probit"" link function",Model 2,https://github.com/eurotsunamirisk/etris_data_and_data_products/blob/main/etris_data_products/Fragility_Curves/SriLanka2004_Devinuwara_M2.csv,https://doi.org/10.1080/10286600802435918,19,
Yes,"Predominantly unreinforced single-storey masonry, Devinuwara",MUR/HEX:1,2004 Indean Ocean Tsunami,5.939256,80.591433,Destroyed/Survived,"using ""cloglog"" link function",Model 3,https://github.com/eurotsunamirisk/etris_data_and_data_products/blob/main/etris_data_products/Fragility_Curves/SriLanka2004_Devinuwara_M3.csv,https://doi.org/10.1080/10286600802435918,19,
Yes,"Predominantly unreinforced single-storey masonry,  Dickwella ",MUR/HEX:1,2004 Indean Ocean Tsunami,5.971675,80.695103,Destroyed/Survived,"using ""logit"" link function",Model 1,https://github.com/eurotsunamirisk/etris_data_and_data_products/blob/main/etris_data_products/Fragility_Curves/SriLanka2004_Dickwella_M1.csv,https://doi.org/10.1080/10286600802435918,19,
Yes,"Predominantly unreinforced single-storey masonry,  Dickwella ",MUR/HEX:1,2004 Indean Ocean Tsunami,5.975675,80.695103,Destroyed/Survived,"using ""probit"" link function",Model 2,https://github.com/eurotsunamirisk/etris_data_and_data_products/blob/main/etris_data_products/Fragility_Curves/SriLanka2004_Dickwella_M2.csv,https://doi.org/10.1080/10286600802435918,19,
Yes,"Predominantly unreinforced single-storey masonry,  Dickwella ",MUR/HEX:1,2004 Indean Ocean Tsunami,5.979675,80.695103,Destroyed/Survived,"using ""cloglog"" link function",Model 3,https://github.com/eurotsunamirisk/etris_data_and_data_products/blob/main/etris_data_products/Fragility_Curves/SriLanka2004_Dickwella_M3.csv,https://doi.org/10.1080/10286600802435918,19,
Yes,"Predominantly unreinforced single-storey masonry, All South West Coast",MUR/HEX:1,2004 Indean Ocean Tsunami,6.46351565,80.10060055,Destroyed/Survived,"using ""logit"" link function",Model 1,https://github.com/eurotsunamirisk/etris_data_and_data_products/blob/main/etris_data_products/Fragility_Curves/SriLanka2004_TotalArea_M1.csv,https://doi.org/10.1080/10286600802435918,19,
Yes,"Predominantly unreinforced single-storey masonry, All South West Coast",MUR/HEX:1,2004 Indean Ocean Tsunami,6.455789611,80.10458986,Destroyed/Survived,"using ""probit"" link function",Model 2,https://github.com/eurotsunamirisk/etris_data_and_data_products/blob/main/etris_data_products/Fragility_Curves/SriLanka2004_TotalArea_M2.csv,https://doi.org/10.1080/10286600802435918,19,
Yes,"Predominantly unreinforced single-storey masonry, All South West Coast",MUR/HEX:1,2004 Indean Ocean Tsunami,6.447868138,80.10864566,Destroyed/Survived,"using ""cloglog"" link function",Model 3,https://github.com/eurotsunamirisk/etris_data_and_data_products/blob/main/etris_data_products/Fragility_Curves/SriLanka2004_TotalArea_M3.csv,https://doi.org/10.1080/10286600802435918,19,
Yes,"Chemical industry, Building",,Tohoku Earthquake and Tsunami 2011,40.5297,141.54386,4 Tier/Chua et al. 2021,"using ""logit"" link function",Model 1,https://github.com/eurotsunamirisk/etris_data_and_data_products/blob/main/etris_data_products/Fragility_Curves/Japan_Chemical_B_M1.csv,https://doi.org/10.5194/nhess-21-1887-2021,20,
Yes,"Chemical industry, Building",,Tohoku Earthquake and Tsunami 2011,40.527575,141.545569,4 Tier/Chua et al. 2021,"using ""probit"" link function",Model 2,https://github.com/eurotsunamirisk/etris_data_and_data_products/blob/main/etris_data_products/Fragility_Curves/Japan_Chemical_B_M2.csv,https://doi.org/10.5194/nhess-21-1887-2021,20,
Yes,"Chemical industry, Building",,Tohoku Earthquake and Tsunami 2011,40.5263944,141.54416,4 Tier/Chua et al. 2021,"using ""cloglog"" link function",Model 3,https://github.com/eurotsunamirisk/etris_data_and_data_products/blob/main/etris_data_products/Fragility_Curves/Japan_Chemical_B_M3.csv,https://doi.org/10.5194/nhess-21-1887-2021,20,
Yes,"Chemical industry, Infrastructure",,Tohoku Earthquake and Tsunami 2011,40.526547,141.535827,4 Tier/Chua et al. 2021,"using ""logit"" link function",Model 1,https://github.com/eurotsunamirisk/etris_data_and_data_products/blob/main/etris_data_products/Fragility_Curves/Japan_Chemical_I_M1.csv,https://doi.org/10.5194/nhess-21-1887-2021,21,
Yes,"Chemical industry, Infrastructure",,Tohoku Earthquake and Tsunami 2011,40.5251,141.539261,4 Tier/Chua et al. 2021,"using ""probit"" link function",Model 2,https://github.com/eurotsunamirisk/etris_data_and_data_products/blob/main/etris_data_products/Fragility_Curves/Japan_Chemical_I_M2.csv,https://doi.org/10.5194/nhess-21-1887-2021,21,
Yes,"Chemical industry, Infrastructure",,Tohoku Earthquake and Tsunami 2011,40.5255,141.541552,4 Tier/Chua et al. 2021,"using ""cloglog"" link function",Model 3,https://github.com/eurotsunamirisk/etris_data_and_data_products/blob/main/etris_data_products/Fragility_Curves/Japan_Chemical_I_M3.csv,https://doi.org/10.5194/nhess-21-1887-2021,21,
Yes,"Construction Material Industry, Building",,Tohoku Earthquake and Tsunami 2011,38.417,141.31949,4 Tier/Chua et al. 2021,"using ""logit"" link function",Model 1,https://github.com/eurotsunamirisk/etris_data_and_data_products/blob/main/etris_data_products/Fragility_Curves/Japan_ConstructionMaterials_B_M1.csv,https://doi.org/10.5194/nhess-21-1887-2021,22,
Yes,"Construction Material Industry, Building",,Tohoku Earthquake and Tsunami 2011,38.418969,141.337822,4 Tier/Chua et al. 2021,"using ""probit"" link function",Model 2,https://github.com/eurotsunamirisk/etris_data_and_data_products/blob/main/etris_data_products/Fragility_Curves/Japan_ConstructionMaterials_B_M2.csv,https://doi.org/10.5194/nhess-21-1887-2021,22,
Yes,"Construction Material Industry, Building",,Tohoku Earthquake and Tsunami 2011,38.419833,141.338388,4 Tier/Chua et al. 2021,"using ""cloglog"" link function",Model 3,https://github.com/eurotsunamirisk/etris_data_and_data_products/blob/main/etris_data_products/Fragility_Curves/Japan_ConstructionMaterials_B_M3.csv,https://doi.org/10.5194/nhess-21-1887-2021,22,
Yes,"Construction Material Industry,  Infrastructure",,Tohoku Earthquake and Tsunami 2011,38.41955,141.29245,4 Tier/Chua et al. 2021,"using ""logit"" link function",Model 1,https://github.com/eurotsunamirisk/etris_data_and_data_products/blob/main/etris_data_products/Fragility_Curves/Japan_ConstructionMaterials_I_M1.csv,https://doi.org/10.5194/nhess-21-1887-2021,23,
Yes,"Construction Material Industry,  Infrastructure",,Tohoku Earthquake and Tsunami 2011,38.42342,141.27801,4 Tier/Chua et al. 2021,"using ""probit"" link function",Model 2,https://github.com/eurotsunamirisk/etris_data_and_data_products/blob/main/etris_data_products/Fragility_Curves/Japan_ConstructionMaterials_I_M2.csv,https://doi.org/10.5194/nhess-21-1887-2021,23,
Yes,"Construction Material Industry,  Infrastructure",,Tohoku Earthquake and Tsunami 2011,38.418122,141.260436,4 Tier/Chua et al. 2021,"using ""cloglog"" link function",Model 3,https://github.com/eurotsunamirisk/etris_data_and_data_products/blob/main/etris_data_products/Fragility_Curves/Japan_ConstructionMaterials_I_M3.csv,https://doi.org/10.5194/nhess-21-1887-2021,23,
Yes,"Cargo Handling Industry, Building",,Tohoku Earthquake and Tsunami 2011,40.19305556,141.8002778,4 Tier/Chua et al. 2021,"using ""logit"" link function",Model 1,https://github.com/eurotsunamirisk/etris_data_and_data_products/blob/main/etris_data_products/Fragility_Curves/Japan_CargoHandling_B_M1.csv,https://doi.org/10.5194/nhess-21-1887-2021,24,
Yes,"Cargo Handling Industry, Building",,Tohoku Earthquake and Tsunami 2011,40.19611111,141.7997222,4 Tier/Chua et al. 2021,"using ""probit"" link function",Model 2,https://github.com/eurotsunamirisk/etris_data_and_data_products/blob/main/etris_data_products/Fragility_Curves/Japan_CargoHandling_B_M2.csv,https://doi.org/10.5194/nhess-21-1887-2021,24,
Yes,"Cargo Handling, Building",,Tohoku Earthquake and Tsunami 2011,40.19277778,141.8027778,4 Tier/Chua et al. 2021,"using ""cloglog"" link function",Model 3,https://github.com/eurotsunamirisk/etris_data_and_data_products/blob/main/etris_data_products/Fragility_Curves/Japan_CargoHandling_B_M3.csv,https://doi.org/10.5194/nhess-21-1887-2021,24,
Yes,"Cargo Handling Industry, Infrastructure",,Tohoku Earthquake and Tsunami 2011,38.41333333,141.3202778,4 Tier/Chua et al. 2021,"using ""logit"" link function",Model 1,https://github.com/eurotsunamirisk/etris_data_and_data_products/blob/main/etris_data_products/Fragility_Curves/Japan_CargoHandling_I_M1.csv,https://doi.org/10.5194/nhess-21-1887-2021,25,
Yes,"Cargo Handling Industry, Infrastructure",,Tohoku Earthquake and Tsunami 2011,38.41361111,141.3261111,4 Tier/Chua et al. 2021,"using ""probit"" link function",Model 2,https://github.com/eurotsunamirisk/etris_data_and_data_products/blob/main/etris_data_products/Fragility_Curves/Japan_CargoHandling_I_M2.csv,https://doi.org/10.5194/nhess-21-1887-2021,25,
Yes,"Cargo Handling Industry, Infrastructure",,Tohoku Earthquake and Tsunami 2011,38.41388889,141.3313889,4 Tier/Chua et al. 2021,"using ""cloglog"" link function",Model 3,https://github.com/eurotsunamirisk/etris_data_and_data_products/blob/main/etris_data_products/Fragility_Curves/Japan_CargoHandling_I_M3.csv,https://doi.org/10.5194/nhess-21-1887-2021,25,
Yes,"Energy-related Industry, Building",,Tohoku Earthquake and Tsunami 2011,38.26583333,140.9958333,4 Tier/Chua et al. 2021,"using ""logit"" link function",Model 1,https://github.com/eurotsunamirisk/etris_data_and_data_products/blob/main/etris_data_products/Fragility_Curves/Japan_EnergyRelated_B_M1.csv,https://doi.org/10.5194/nhess-21-1887-2021,26,
Yes,"Energy-related Industry, Building",,Tohoku Earthquake and Tsunami 2011,38.26555556,141.0025,4 Tier/Chua et al. 2021,"using ""probit"" link function",Model 2,https://github.com/eurotsunamirisk/etris_data_and_data_products/blob/main/etris_data_products/Fragility_Curves/Japan_EnergyRelated_B_M2.csv,https://doi.org/10.5194/nhess-21-1887-2021,26,
Yes,"Energy-related Industry, Building",,Tohoku Earthquake and Tsunami 2011,38.26555556,141.0088889,4 Tier/Chua et al. 2021,"using ""cloglog"" link function",Model 3,https://github.com/eurotsunamirisk/etris_data_and_data_products/blob/main/etris_data_products/Fragility_Curves/Japan_EnergyRelated_B_M3.csv,https://doi.org/10.5194/nhess-21-1887-2021,26,
Yes,"Energy-related Industry, Infrastructure",,Tohoku Earthquake and Tsunami 2011,38.26333333,140.9972222,4 Tier/Chua et al. 2021,"using ""logit"" link function",Model 1,https://github.com/eurotsunamirisk/etris_data_and_data_products/blob/main/etris_data_products/Fragility_Curves/Japan_EnergyRelated_I_M1.csv,https://doi.org/10.5194/nhess-21-1887-2021,27,
Yes,"Energy-related Industry, Infrastructure",,Tohoku Earthquake and Tsunami 2011,38.26305556,141.0027778,4 Tier/Chua et al. 2021,"using ""probit"" link function",Model 2,https://github.com/eurotsunamirisk/etris_data_and_data_products/blob/main/etris_data_products/Fragility_Curves/Japan_EnergyRelated_I_M2.csv,https://doi.org/10.5194/nhess-21-1887-2021,27,
